date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:13:43	67/67	---M--	200	added ('OK')	text/plain	date:Tue,%2009%20Jun%202020%2007:13:12%20GMT	https://atulweb.com/robots.txt		(from )
00:13:44	43954/43954	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jun%202020%2007:13:13%20GMT	https://atulweb.com/	C:/collage/IEEE%20CLONE/atulweb.com/index.html	(from )
00:13:45	53593/53593	---M--	200	added ('OK')	text/css	date:Fri,%2024%20Apr%202020%2021:02:14%20GMT	https://atulweb.com/wp-includes/css/dist/block-library/style.min.css?ver=5.4.1	C:/collage/IEEE%20CLONE/atulweb.com/wp-includes/css/dist/block-library/style.minc225.css	(from https://atulweb.com/)
00:13:45	1954/1954	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Feb%202020%2002:33:32%20GMT	https://atulweb.com/wp-includes/css/dist/block-library/theme.min.css?ver=5.4.1	C:/collage/IEEE%20CLONE/atulweb.com/wp-includes/css/dist/block-library/theme.minc225.css	(from https://atulweb.com/)
00:13:45	1860/1860	---MC-	200	added ('OK')	application/rss+xml	date:Mon,%2008%20Jun%202020%2006:51:10%20GMT	https://atulweb.com/feed/	C:/collage/IEEE%20CLONE/atulweb.com/feed/index.html	(from https://atulweb.com/)
00:13:45	1619/1619	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2004%20Jun%202020%2016:39:58%20GMT	https://atulweb.com/comments/feed/	C:/collage/IEEE%20CLONE/atulweb.com/comments/feed/index.html	(from https://atulweb.com/)
00:13:46	56842/56842	---M--	200	added ('OK')	text/css	date:Thu,%2004%20Jun%202020%2016:43:03%20GMT	https://atulweb.com/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min.css?ver=5.11.2	C:/collage/IEEE%20CLONE/atulweb.com/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.minaec5.css	(from https://atulweb.com/)
00:13:46	10909/10909	---MC-	200	added ('OK')	text/css	date:Thu,%2004%20Jun%202020%2016:43:03%20GMT	https://atulweb.com/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min.css?ver=2.4.0	C:/collage/IEEE%20CLONE/atulweb.com/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min8d5a.css	(from https://atulweb.com/)
00:13:47	5235/5235	---M--	200	added ('OK')	text/css	date:Thu,%2004%20Jun%202020%2016:43:03%20GMT	https://atulweb.com/wp-content/themes/oceanwp/assets/css/third/magnific-popup.min.css?ver=1.0.0	C:/collage/IEEE%20CLONE/atulweb.com/wp-content/themes/oceanwp/assets/css/third/magnific-popup.min8a54.css	(from https://atulweb.com/)
00:13:48	1618/1618	---M--	200	added ('OK')	text/css	date:Thu,%2004%20Jun%202020%2016:43:03%20GMT	https://atulweb.com/wp-content/themes/oceanwp/assets/css/third/slick.min.css?ver=1.6.0	C:/collage/IEEE%20CLONE/atulweb.com/wp-content/themes/oceanwp/assets/css/third/slick.minaff7.css	(from https://atulweb.com/)
